ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.652,0.433,0.15,0.825,0.254,0.618,0.175,6.546,128,1.5,0.001,0.5,0.05
0.608,0.402,0.135,0.763,0.23,0.646,0.237,6.546,128,1.5,0.001,1.0,0.05
0.673,0.574,0.17,0.68,0.272,0.44,0.32,6.546,128,1.5,0.001,2.0,0.05
0.69,0.582,0.174,0.689,0.278,0.432,0.311,6.546,128,1.5,0.003,0.5,0.05
0.694,0.583,0.175,0.691,0.28,0.431,0.309,6.546,128,1.5,0.003,1.0,0.05
0.688,0.513,0.163,0.765,0.269,0.52,0.235,6.546,128,1.5,0.003,2.0,0.05
0.701,0.57,0.177,0.733,0.285,0.452,0.267,6.546,128,1.5,0.005,0.5,0.05
0.72,0.607,0.19,0.723,0.301,0.408,0.277,6.546,128,1.5,0.005,1.0,0.05
0.72,0.65,0.199,0.66,0.306,0.351,0.34,6.546,128,1.5,0.005,2.0,0.05
0.682,0.556,0.169,0.715,0.273,0.465,0.285,4.464,128,2.0,0.001,0.5,0.05
0.661,0.546,0.163,0.695,0.264,0.474,0.305,4.464,128,2.0,0.001,1.0,0.05
0.66,0.583,0.172,0.669,0.273,0.428,0.331,4.464,128,2.0,0.001,2.0,0.05
0.713,0.596,0.183,0.708,0.291,0.419,0.292,4.464,128,2.0,0.003,0.5,0.05
0.696,0.602,0.183,0.695,0.29,0.411,0.305,4.464,128,2.0,0.003,1.0,0.05
0.687,0.538,0.169,0.752,0.276,0.49,0.248,4.464,128,2.0,0.003,2.0,0.05
0.717,0.586,0.183,0.735,0.293,0.434,0.265,4.464,128,2.0,0.005,0.5,0.05
0.714,0.606,0.187,0.709,0.296,0.408,0.291,4.464,128,2.0,0.005,1.0,0.05
0.703,0.643,0.192,0.637,0.295,0.356,0.363,4.464,128,2.0,0.005,2.0,0.05
