ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,Run
0.841,0.681,0.246,0.836,0.38,0.339,0.164,1.293,128,1.5,0.003,1.0,1.0,True,1
0.826,0.697,0.25,0.798,0.381,0.317,0.202,1.293,128,1.5,0.003,2.0,1.0,True,1
0.869,0.619,0.225,0.923,0.362,0.421,0.077,1.293,128,1.5,0.005,0.5,1.0,True,1
0.877,0.627,0.229,0.927,0.368,0.413,0.073,1.293,128,1.5,0.005,1.0,1.0,True,1
0.869,0.615,0.224,0.928,0.36,0.427,0.072,1.293,128,1.5,0.005,2.0,1.0,True,1
0.766,0.658,0.218,0.746,0.338,0.354,0.254,0.91,128,2.0,0.001,0.5,1.0,True,1
0.752,0.656,0.213,0.723,0.33,0.353,0.277,0.91,128,2.0,0.001,1.0,1.0,True,1
0.761,0.668,0.221,0.727,0.339,0.34,0.273,0.91,128,2.0,0.001,2.0,1.0,True,1
0.843,0.664,0.238,0.851,0.372,0.361,0.149,0.91,128,2.0,0.003,0.5,1.0,True,1
0.811,0.686,0.241,0.783,0.368,0.327,0.217,0.91,128,2.0,0.003,1.0,1.0,True,1
0.825,0.69,0.246,0.802,0.377,0.325,0.198,0.91,128,2.0,0.003,2.0,1.0,True,1
0.872,0.663,0.244,0.897,0.384,0.367,0.103,0.91,128,2.0,0.005,0.5,1.0,True,1
0.868,0.676,0.251,0.89,0.391,0.353,0.11,0.91,128,2.0,0.005,1.0,1.0,True,1
0.872,0.616,0.225,0.931,0.362,0.426,0.069,0.91,128,2.0,0.005,2.0,1.0,True,1
0.899,0.842,0.411,0.81,0.545,0.154,0.19,inf,16,0.0,0.001,0.0,0.5,False,1
0.901,0.833,0.397,0.827,0.536,0.167,0.173,inf,16,0.0,0.003,0.0,0.5,False,1
0.899,0.823,0.383,0.833,0.524,0.178,0.167,inf,16,0.0,0.005,0.0,0.5,False,1
0.899,0.814,0.37,0.836,0.512,0.189,0.164,inf,32,0.0,0.001,0.0,0.5,False,1
0.9,0.838,0.404,0.799,0.536,0.156,0.201,inf,32,0.0,0.003,0.0,0.5,False,1
0.901,0.818,0.375,0.842,0.519,0.186,0.158,inf,32,0.0,0.005,0.0,0.5,False,1
0.898,0.829,0.39,0.827,0.53,0.171,0.173,inf,64,0.0,0.001,0.0,0.5,False,1
0.902,0.837,0.404,0.82,0.541,0.16,0.18,inf,64,0.0,0.003,0.0,0.5,False,1
0.903,0.846,0.417,0.794,0.547,0.147,0.206,inf,64,0.0,0.005,0.0,0.5,False,1
0.899,0.827,0.387,0.818,0.525,0.172,0.182,inf,128,0.0,0.001,0.0,0.5,False,1
0.899,0.82,0.378,0.837,0.521,0.182,0.163,inf,128,0.0,0.003,0.0,0.5,False,1
0.903,0.831,0.395,0.826,0.534,0.168,0.174,inf,128,0.0,0.005,0.0,0.5,False,1
0.868,0.832,0.387,0.742,0.508,0.156,0.258,2.114,16,0.8,0.001,0.5,0.5,True,1
0.873,0.831,0.385,0.743,0.507,0.157,0.257,2.114,16,0.8,0.001,1.0,0.5,True,1
0.869,0.837,0.393,0.725,0.51,0.148,0.275,2.114,16,0.8,0.001,2.0,0.5,True,1
0.885,0.831,0.388,0.771,0.516,0.161,0.229,2.114,16,0.8,0.003,0.5,0.5,True,1
0.89,0.799,0.35,0.836,0.493,0.206,0.164,2.114,16,0.8,0.003,1.0,0.5,True,1
0.887,0.815,0.368,0.813,0.507,0.185,0.187,2.114,16,0.8,0.003,2.0,0.5,True,1
0.889,0.786,0.335,0.847,0.481,0.222,0.153,2.114,16,0.8,0.005,0.5,0.5,True,1
0.89,0.81,0.361,0.812,0.499,0.191,0.188,2.114,16,0.8,0.005,1.0,0.5,True,1
0.892,0.821,0.377,0.811,0.515,0.177,0.189,2.114,16,0.8,0.005,2.0,0.5,True,1
0.862,0.827,0.378,0.742,0.501,0.161,0.258,1.058,16,1.1,0.001,0.5,0.5,True,1
0.858,0.823,0.37,0.733,0.492,0.165,0.267,1.058,16,1.1,0.001,1.0,0.5,True,1
