ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Config
0.87,0.874,0.468,0.59,0.522,0.089,0.41,0.904,64,1.5,0.005,1.0,"BS=64.0, Noise=1.5, LR=0.005, Clip=1.0"
0.759,0.698,0.227,0.661,0.338,0.297,0.339,0.904,64,1.5,0.005,2.0,"BS=64.0, Noise=1.5, LR=0.005, Clip=2.0"
0.761,0.672,0.22,0.711,0.337,0.333,0.289,0.638,64,2.0,0.001,0.5,"BS=64.0, Noise=2.0, LR=0.001, Clip=0.5"
0.744,0.647,0.207,0.711,0.32,0.361,0.289,0.638,64,2.0,0.001,1.0,"BS=64.0, Noise=2.0, LR=0.001, Clip=1.0"
0.755,0.674,0.22,0.703,0.335,0.33,0.297,0.638,64,2.0,0.001,2.0,"BS=64.0, Noise=2.0, LR=0.001, Clip=2.0"
0.755,0.682,0.221,0.678,0.333,0.317,0.322,0.638,64,2.0,0.003,0.5,"BS=64.0, Noise=2.0, LR=0.003, Clip=0.5"
0.771,0.697,0.232,0.692,0.348,0.303,0.308,0.638,64,2.0,0.003,1.0,"BS=64.0, Noise=2.0, LR=0.003, Clip=1.0"
0.776,0.691,0.232,0.712,0.35,0.311,0.288,0.638,64,2.0,0.003,2.0,"BS=64.0, Noise=2.0, LR=0.003, Clip=2.0"
0.799,0.739,0.268,0.708,0.388,0.257,0.292,0.638,64,2.0,0.005,0.5,"BS=64.0, Noise=2.0, LR=0.005, Clip=0.5"
0.887,0.866,0.451,0.671,0.539,0.108,0.329,0.638,64,2.0,0.005,1.0,"BS=64.0, Noise=2.0, LR=0.005, Clip=1.0"
0.866,0.841,0.398,0.696,0.506,0.14,0.304,0.638,64,2.0,0.005,2.0,"BS=64.0, Noise=2.0, LR=0.005, Clip=2.0"
0.747,0.674,0.219,0.694,0.332,0.329,0.306,3.813,128,0.8,0.001,0.5,"BS=128.0, Noise=0.8, LR=0.001, Clip=0.5"
0.757,0.665,0.217,0.715,0.333,0.342,0.285,3.813,128,0.8,0.001,1.0,"BS=128.0, Noise=0.8, LR=0.001, Clip=1.0"
0.725,0.641,0.198,0.678,0.307,0.363,0.322,3.813,128,0.8,0.001,2.0,"BS=128.0, Noise=0.8, LR=0.001, Clip=2.0"
0.755,0.682,0.221,0.681,0.334,0.318,0.319,3.813,128,0.8,0.003,0.5,"BS=128.0, Noise=0.8, LR=0.003, Clip=0.5"
0.732,0.678,0.21,0.633,0.315,0.316,0.367,3.813,128,0.8,0.003,1.0,"BS=128.0, Noise=0.8, LR=0.003, Clip=1.0"
0.758,0.68,0.223,0.7,0.338,0.323,0.3,3.813,128,0.8,0.003,2.0,"BS=128.0, Noise=0.8, LR=0.003, Clip=2.0"
