ROC AUC,Accuracy,Precision,Recall,F1 Score,Type I Error,Type II Error,Epsilon,Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio
0.749,0.669,0.216,0.694,0.329,0.334,0.306,0.638,64,2.0,0.001,0.5,1.0
0.745,0.651,0.208,0.707,0.321,0.357,0.293,0.638,64,2.0,0.001,1.0,1.0
0.75,0.655,0.212,0.716,0.327,0.353,0.284,0.638,64,2.0,0.001,2.0,1.0
0.751,0.679,0.222,0.695,0.336,0.323,0.305,0.638,64,2.0,0.003,0.5,1.0
0.755,0.687,0.225,0.682,0.338,0.312,0.318,0.638,64,2.0,0.003,1.0,1.0
0.869,0.855,0.425,0.678,0.522,0.122,0.322,0.638,64,2.0,0.003,2.0,1.0
0.775,0.703,0.239,0.708,0.358,0.298,0.292,0.638,64,2.0,0.005,0.5,1.0
0.793,0.78,0.295,0.634,0.403,0.201,0.366,0.638,64,2.0,0.005,1.0,1.0
0.868,0.868,0.451,0.601,0.515,0.097,0.399,0.638,64,2.0,0.005,2.0,1.0
0.729,0.662,0.209,0.68,0.32,0.34,0.32,3.813,128,0.8,0.001,0.5,1.0
0.739,0.674,0.213,0.664,0.323,0.325,0.336,3.813,128,0.8,0.001,1.0,1.0
0.745,0.668,0.217,0.708,0.333,0.338,0.292,3.813,128,0.8,0.001,2.0,1.0
0.762,0.686,0.226,0.693,0.341,0.315,0.307,3.813,128,0.8,0.003,0.5,1.0
0.767,0.691,0.231,0.708,0.349,0.312,0.292,3.813,128,0.8,0.003,1.0,1.0
0.773,0.704,0.24,0.703,0.358,0.296,0.297,3.813,128,0.8,0.003,2.0,1.0
0.765,0.698,0.232,0.685,0.346,0.301,0.315,3.813,128,0.8,0.005,0.5,1.0
0.777,0.698,0.235,0.701,0.352,0.302,0.299,3.813,128,0.8,0.005,1.0,1.0
0.796,0.746,0.271,0.693,0.389,0.247,0.307,3.813,128,0.8,0.005,2.0,1.0
0.755,0.681,0.222,0.688,0.335,0.32,0.312,2.013,128,1.1,0.001,0.5,1.0
0.748,0.665,0.215,0.701,0.329,0.339,0.299,2.013,128,1.1,0.001,1.0,1.0
0.739,0.66,0.21,0.686,0.321,0.343,0.314,2.013,128,1.1,0.001,2.0,1.0
0.724,0.673,0.212,0.66,0.32,0.326,0.34,2.013,128,1.1,0.003,0.5,1.0
0.746,0.664,0.213,0.694,0.326,0.34,0.306,2.013,128,1.1,0.003,1.0,1.0
0.764,0.677,0.223,0.711,0.34,0.328,0.289,2.013,128,1.1,0.003,2.0,1.0
0.837,0.822,0.36,0.677,0.47,0.159,0.323,2.013,128,1.1,0.005,0.5,1.0
0.856,0.878,0.48,0.535,0.506,0.077,0.465,2.013,128,1.1,0.005,1.0,1.0
0.787,0.752,0.27,0.658,0.383,0.236,0.342,2.013,128,1.1,0.005,2.0,1.0
0.713,0.651,0.198,0.648,0.303,0.348,0.352,1.293,128,1.5,0.001,0.5,1.0
0.718,0.639,0.197,0.676,0.305,0.366,0.324,1.293,128,1.5,0.001,1.0,1.0
0.725,0.658,0.203,0.661,0.311,0.343,0.339,1.293,128,1.5,0.001,2.0,1.0
0.756,0.685,0.222,0.676,0.335,0.313,0.324,1.293,128,1.5,0.003,0.5,1.0
0.761,0.694,0.229,0.682,0.343,0.305,0.318,1.293,128,1.5,0.003,1.0,1.0
0.765,0.657,0.215,0.728,0.332,0.352,0.272,1.293,128,1.5,0.003,2.0,1.0
0.733,0.636,0.201,0.708,0.313,0.374,0.292,1.293,128,1.5,0.005,0.5,1.0
