Batch Size,Noise Multiplier,Learning Rate,Clipping Norm,Sample Ratio,DP Enabled,ROC AUC mean,ROC AUC min,ROC AUC max,Accuracy mean,Accuracy min,Accuracy max,Precision mean,Precision min,Precision max,Recall mean,Recall min,Recall max,F1 Score mean,F1 Score min,F1 Score max,Type I Error mean,Type I Error min,Type I Error max,Type II Error mean,Type II Error min,Type II Error max,Epsilon mean,Epsilon min,Epsilon max
64,1.1,0.001,1.0,1.0,True,0.793,0.771,0.814,0.69,0.674,0.704,0.237,0.224,0.252,0.744,0.713,0.779,0.36,0.342,0.38,0.318,0.298,0.334,0.256,0.221,0.287,1.419,1.419,1.419
64,1.1,0.001,2.0,0.05,True,0.681,0.632,0.705,0.584,0.501,0.641,0.174,0.154,0.186,0.675,0.568,0.782,0.276,0.252,0.295,0.428,0.355,0.536,0.325,0.218,0.432,7.17,7.17,7.17
64,1.1,0.001,2.0,0.1,True,0.7,0.685,0.714,0.624,0.583,0.656,0.188,0.177,0.198,0.664,0.602,0.72,0.293,0.277,0.307,0.381,0.337,0.435,0.336,0.28,0.398,4.839,4.839,4.839
64,1.1,0.001,2.0,0.5,True,0.756,0.751,0.763,0.656,0.641,0.691,0.214,0.207,0.228,0.722,0.69,0.745,0.329,0.323,0.343,0.353,0.309,0.372,0.278,0.255,0.31,2.013,2.013,2.013
64,1.1,0.001,2.0,1.0,True,0.793,0.779,0.804,0.694,0.668,0.721,0.24,0.223,0.258,0.74,0.728,0.754,0.362,0.342,0.381,0.312,0.28,0.342,0.26,0.246,0.272,1.419,1.419,1.419
64,1.1,0.003,0.5,0.05,True,0.715,0.697,0.737,0.647,0.594,0.735,0.199,0.187,0.239,0.655,0.573,0.738,0.304,0.294,0.338,0.354,0.245,0.426,0.345,0.262,0.427,7.17,7.17,7.17
64,1.1,0.003,0.5,0.1,True,0.728,0.712,0.744,0.642,0.574,0.665,0.201,0.181,0.212,0.689,0.652,0.753,0.311,0.292,0.324,0.364,0.333,0.45,0.311,0.247,0.348,4.839,4.839,4.839
64,1.1,0.003,0.5,0.5,True,0.836,0.822,0.857,0.76,0.682,0.864,0.304,0.243,0.433,0.746,0.534,0.816,0.425,0.375,0.478,0.238,0.093,0.336,0.254,0.184,0.466,2.013,2.013,2.013
64,1.1,0.003,0.5,1.0,True,0.887,0.883,0.889,0.801,0.714,0.834,0.355,0.277,0.394,0.819,0.773,0.892,0.493,0.422,0.522,0.202,0.158,0.309,0.181,0.108,0.227,1.419,1.419,1.419
64,1.1,0.003,1.0,0.05,True,0.717,0.703,0.734,0.655,0.617,0.694,0.202,0.19,0.22,0.656,0.621,0.725,0.308,0.297,0.327,0.345,0.299,0.397,0.344,0.275,0.379,7.17,7.17,7.17
64,1.1,0.003,1.0,0.1,True,0.738,0.73,0.75,0.648,0.605,0.684,0.205,0.193,0.218,0.698,0.659,0.749,0.317,0.307,0.328,0.359,0.313,0.414,0.302,0.251,0.341,4.839,4.839,4.839
64,1.1,0.003,1.0,0.5,True,0.83,0.797,0.852,0.74,0.668,0.811,0.282,0.234,0.343,0.758,0.679,0.874,0.409,0.357,0.456,0.262,0.172,0.36,0.242,0.126,0.321,2.013,2.013,2.013
64,1.1,0.003,1.0,1.0,True,0.887,0.883,0.89,0.776,0.684,0.829,0.332,0.259,0.387,0.844,0.787,0.912,0.473,0.403,0.519,0.233,0.166,0.346,0.156,0.088,0.213,1.419,1.419,1.419
64,1.1,0.003,2.0,0.05,True,0.711,0.692,0.734,0.632,0.57,0.667,0.192,0.178,0.204,0.665,0.621,0.736,0.298,0.282,0.31,0.372,0.326,0.452,0.335,0.264,0.379,7.17,7.17,7.17
64,1.1,0.003,2.0,0.1,True,0.737,0.727,0.756,0.649,0.609,0.677,0.206,0.199,0.216,0.698,0.654,0.776,0.317,0.309,0.326,0.358,0.322,0.413,0.302,0.224,0.346,4.839,4.839,4.839
64,1.1,0.003,2.0,0.5,True,0.831,0.813,0.853,0.748,0.687,0.851,0.291,0.24,0.406,0.751,0.595,0.796,0.415,0.367,0.483,0.253,0.115,0.325,0.249,0.204,0.405,2.013,2.013,2.013
64,1.1,0.003,2.0,1.0,True,0.886,0.881,0.892,0.775,0.656,0.844,0.335,0.244,0.409,0.838,0.759,0.925,0.474,0.386,0.532,0.234,0.145,0.38,0.162,0.075,0.241,1.419,1.419,1.419
64,1.1,0.005,0.5,0.05,True,0.73,0.711,0.743,0.667,0.595,0.719,0.209,0.188,0.234,0.655,0.615,0.743,0.317,0.297,0.339,0.331,0.267,0.424,0.345,0.257,0.385,7.17,7.17,7.17
64,1.1,0.005,0.5,0.1,True,0.757,0.751,0.767,0.655,0.609,0.692,0.214,0.198,0.226,0.723,0.669,0.771,0.33,0.315,0.345,0.354,0.305,0.412,0.277,0.229,0.331,4.839,4.839,4.839
64,1.1,0.005,0.5,0.5,True,0.867,0.83,0.878,0.799,0.734,0.835,0.345,0.273,0.391,0.774,0.664,0.827,0.476,0.403,0.511,0.198,0.152,0.271,0.226,0.173,0.336,2.013,2.013,2.013
64,1.1,0.005,0.5,1.0,True,0.888,0.88,0.897,0.82,0.797,0.837,0.374,0.347,0.397,0.796,0.767,0.836,0.509,0.491,0.524,0.177,0.154,0.208,0.204,0.164,0.233,1.419,1.419,1.419
64,1.1,0.005,1.0,0.05,True,0.728,0.701,0.75,0.668,0.631,0.732,0.209,0.188,0.238,0.655,0.59,0.708,0.317,0.29,0.34,0.33,0.25,0.377,0.345,0.292,0.41,7.17,7.17,7.17
64,1.1,0.005,1.0,0.1,True,0.76,0.752,0.766,0.653,0.611,0.688,0.214,0.2,0.227,0.729,0.697,0.776,0.33,0.318,0.343,0.357,0.314,0.411,0.271,0.224,0.303,4.839,4.839,4.839
64,1.1,0.005,1.0,0.5,True,0.871,0.85,0.881,0.806,0.744,0.885,0.365,0.296,0.51,0.753,0.423,0.869,0.479,0.44,0.517,0.187,0.054,0.271,0.247,0.131,0.577,2.013,2.013,2.013
64,1.1,0.005,1.0,1.0,True,0.886,0.866,0.895,0.794,0.631,0.833,0.351,0.234,0.392,0.815,0.771,0.946,0.487,0.375,0.522,0.209,0.16,0.411,0.185,0.054,0.229,1.419,1.419,1.419
64,1.1,0.005,2.0,0.05,True,0.73,0.719,0.741,0.663,0.609,0.718,0.209,0.195,0.232,0.668,0.612,0.751,0.317,0.303,0.337,0.338,0.268,0.41,0.332,0.249,0.388,7.17,7.17,7.17
64,1.1,0.005,2.0,0.1,True,0.756,0.749,0.763,0.654,0.61,0.686,0.213,0.197,0.225,0.725,0.691,0.758,0.329,0.313,0.34,0.355,0.315,0.409,0.275,0.242,0.309,4.839,4.839,4.839
64,1.1,0.005,2.0,0.5,True,0.871,0.844,0.877,0.796,0.667,0.884,0.358,0.247,0.506,0.755,0.374,0.898,0.468,0.387,0.523,0.199,0.048,0.363,0.245,0.102,0.626,2.013,2.013,2.013
64,1.1,0.005,2.0,1.0,True,0.889,0.882,0.896,0.816,0.785,0.839,0.37,0.337,0.4,0.802,0.749,0.862,0.506,0.484,0.521,0.182,0.149,0.225,0.198,0.138,0.251,1.419,1.419,1.419
64,1.5,0.001,0.5,0.05,True,0.676,0.65,0.702,0.594,0.53,0.633,0.172,0.156,0.183,0.646,0.571,0.685,0.272,0.254,0.286,0.413,0.359,0.491,0.354,0.315,0.429,4.446,4.446,4.446
64,1.5,0.001,0.5,0.1,True,0.694,0.662,0.721,0.608,0.528,0.635,0.183,0.169,0.191,0.673,0.612,0.776,0.287,0.269,0.297,0.4,0.362,0.505,0.327,0.224,0.388,3.035,3.035,3.035
64,1.5,0.001,0.5,0.5,True,0.756,0.748,0.763,0.655,0.622,0.675,0.213,0.199,0.221,0.721,0.695,0.74,0.329,0.313,0.337,0.354,0.33,0.393,0.279,0.26,0.305,1.293,1.293,1.293
64,1.5,0.001,0.5,1.0,True,0.795,0.782,0.804,0.694,0.668,0.716,0.24,0.226,0.254,0.743,0.722,0.765,0.363,0.346,0.378,0.312,0.286,0.344,0.257,0.235,0.278,0.904,0.904,0.904
64,1.5,0.001,1.0,0.05,True,0.676,0.648,0.704,0.596,0.531,0.651,0.174,0.157,0.195,0.651,0.595,0.742,0.274,0.256,0.299,0.412,0.347,0.491,0.349,0.258,0.405,4.446,4.446,4.446
64,1.5,0.001,1.0,0.1,True,0.698,0.67,0.711,0.619,0.592,0.667,0.185,0.174,0.203,0.658,0.633,0.685,0.288,0.276,0.308,0.386,0.329,0.418,0.342,0.315,0.367,3.035,3.035,3.035
64,1.5,0.001,1.0,0.5,True,0.756,0.747,0.765,0.653,0.641,0.668,0.212,0.208,0.22,0.722,0.689,0.743,0.327,0.322,0.338,0.357,0.335,0.372,0.278,0.257,0.311,1.293,1.293,1.293
64,1.5,0.001,1.0,1.0,True,0.789,0.78,0.799,0.687,0.66,0.709,0.234,0.22,0.247,0.733,0.707,0.757,0.354,0.339,0.369,0.319,0.294,0.351,0.267,0.243,0.293,0.904,0.904,0.904
64,1.5,0.001,2.0,0.05,True,0.67,0.65,0.688,0.563,0.477,0.622,0.168,0.152,0.18,0.682,0.569,0.768,0.268,0.253,0.284,0.452,0.371,0.561,0.318,0.232,0.431,4.446,4.446,4.446
64,1.5,0.001,2.0,0.1,True,0.704,0.694,0.718,0.617,0.581,0.664,0.187,0.178,0.201,0.677,0.595,0.735,0.293,0.284,0.308,0.391,0.327,0.436,0.323,0.265,0.405,3.035,3.035,3.035
64,1.5,0.001,2.0,0.5,True,0.757,0.748,0.765,0.656,0.631,0.673,0.213,0.207,0.219,0.722,0.692,0.759,0.329,0.321,0.334,0.353,0.33,0.386,0.278,0.241,0.308,1.293,1.293,1.293
64,1.5,0.001,2.0,1.0,True,0.796,0.777,0.807,0.691,0.674,0.718,0.239,0.227,0.257,0.748,0.723,0.767,0.362,0.346,0.383,0.316,0.286,0.338,0.252,0.233,0.277,0.904,0.904,0.904
64,1.5,0.003,0.5,0.05,True,0.713,0.699,0.728,0.646,0.609,0.686,0.198,0.188,0.209,0.659,0.606,0.711,0.304,0.292,0.315,0.355,0.304,0.405,0.341,0.289,0.394,4.446,4.446,4.446
64,1.5,0.003,0.5,0.1,True,0.737,0.724,0.759,0.643,0.586,0.685,0.204,0.184,0.219,0.702,0.661,0.742,0.316,0.295,0.331,0.365,0.312,0.435,0.298,0.258,0.339,3.035,3.035,3.035
64,1.5,0.003,0.5,0.5,True,0.832,0.82,0.848,0.745,0.675,0.809,0.285,0.241,0.338,0.76,0.656,0.825,0.413,0.373,0.455,0.258,0.17,0.345,0.24,0.175,0.344,1.293,1.293,1.293
64,1.5,0.003,0.5,1.0,True,0.886,0.882,0.889,0.78,0.679,0.836,0.336,0.256,0.396,0.839,0.764,0.912,0.476,0.4,0.522,0.228,0.154,0.352,0.161,0.088,0.236,0.904,0.904,0.904
64,1.5,0.003,1.0,0.05,True,0.71,0.695,0.725,0.641,0.622,0.667,0.193,0.189,0.209,0.651,0.601,0.698,0.298,0.288,0.317,0.36,0.332,0.386,0.349,0.302,0.399,4.446,4.446,4.446
64,1.5,0.003,1.0,0.1,True,0.732,0.726,0.74,0.642,0.561,0.684,0.202,0.178,0.213,0.69,0.621,0.761,0.312,0.288,0.324,0.364,0.308,0.466,0.31,0.239,0.379,3.035,3.035,3.035
64,1.5,0.003,1.0,0.5,True,0.827,0.795,0.85,0.747,0.672,0.803,0.286,0.242,0.333,0.747,0.657,0.845,0.412,0.364,0.45,0.253,0.177,0.35,0.253,0.155,0.343,1.293,1.293,1.293
64,1.5,0.003,1.0,1.0,True,0.887,0.884,0.889,0.782,0.674,0.844,0.34,0.253,0.408,0.834,0.75,0.912,0.479,0.396,0.529,0.225,0.144,0.357,0.166,0.088,0.25,0.904,0.904,0.904
64,1.5,0.003,2.0,0.05,True,0.71,0.695,0.726,0.647,0.622,0.676,0.196,0.188,0.206,0.651,0.612,0.692,0.302,0.29,0.312,0.354,0.316,0.387,0.349,0.308,0.388,4.446,4.446,4.446
64,1.5,0.003,2.0,0.1,True,0.735,0.725,0.743,0.639,0.599,0.665,0.202,0.192,0.214,0.704,0.672,0.757,0.314,0.303,0.327,0.37,0.34,0.422,0.296,0.243,0.328,3.035,3.035,3.035
64,1.5,0.003,2.0,0.5,True,0.822,0.797,0.848,0.739,0.692,0.839,0.28,0.242,0.386,0.743,0.64,0.8,0.404,0.368,0.481,0.261,0.135,0.318,0.257,0.2,0.36,1.293,1.293,1.293
64,1.5,0.003,2.0,1.0,True,0.886,0.88,0.889,0.785,0.675,0.852,0.345,0.254,0.423,0.825,0.721,0.917,0.481,0.397,0.533,0.22,0.13,0.358,0.175,0.083,0.279,0.904,0.904,0.904
64,1.5,0.005,0.5,0.05,True,0.729,0.715,0.744,0.662,0.609,0.701,0.207,0.193,0.226,0.662,0.605,0.734,0.315,0.305,0.336,0.338,0.287,0.408,0.338,0.266,0.395,4.446,4.446,4.446
64,1.5,0.005,0.5,0.1,True,0.754,0.738,0.765,0.655,0.613,0.689,0.213,0.199,0.221,0.718,0.648,0.765,0.328,0.316,0.337,0.353,0.306,0.407,0.282,0.235,0.352,3.035,3.035,3.035
64,1.5,0.005,0.5,0.5,True,0.875,0.867,0.883,0.773,0.635,0.871,0.335,0.231,0.461,0.802,0.586,0.907,0.462,0.368,0.516,0.231,0.091,0.401,0.198,0.093,0.414,1.293,1.293,1.293
64,1.5,0.005,0.5,1.0,True,0.888,0.87,0.896,0.794,0.681,0.835,0.349,0.259,0.397,0.825,0.784,0.928,0.488,0.405,0.528,0.21,0.158,0.352,0.175,0.072,0.216,0.904,0.904,0.904
64,1.5,0.005,1.0,0.05,True,0.731,0.722,0.742,0.653,0.58,0.688,0.205,0.185,0.218,0.679,0.629,0.761,0.314,0.298,0.326,0.35,0.304,0.444,0.321,0.239,0.371,4.446,4.446,4.446
64,1.5,0.005,1.0,0.1,True,0.752,0.741,0.759,0.653,0.607,0.687,0.212,0.197,0.226,0.717,0.669,0.769,0.327,0.314,0.34,0.355,0.312,0.415,0.283,0.231,0.331,3.035,3.035,3.035
64,1.5,0.005,1.0,0.5,True,0.868,0.828,0.878,0.785,0.663,0.882,0.343,0.244,0.496,0.772,0.518,0.893,0.464,0.383,0.513,0.213,0.07,0.367,0.228,0.107,0.482,1.293,1.293,1.293
